,Id,Variable_Type,Hi,HiHi,Value,Timestamp
1050,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.065625,2022-05-28 15:25:51.883000+00:00
1236,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.359375,2022-05-28 15:25:50.713000+00:00
1051,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1156251,2022-05-28 15:25:50.713000+00:00
1052,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2593751,2022-05-28 15:25:49.557000+00:00
1237,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.40625,2022-05-28 15:25:47.518000+00:00
1053,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.409375,2022-05-28 15:25:47.518000+00:00
1054,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2093751,2022-05-28 15:25:45.157000+00:00
1238,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.40625,2022-05-28 15:25:45.157000+00:00
1239,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3984375,2022-05-28 15:25:44.030000+00:00
1240,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.4140625,2022-05-28 15:25:42.904000+00:00
1055,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2625,2022-05-28 15:25:42.904000+00:00
1056,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2125001,2022-05-28 15:25:41.716000+00:00
1241,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.40625,2022-05-28 15:25:41.716000+00:00
1242,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3984375,2022-05-28 15:25:40.568000+00:00
1057,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1156251,2022-05-28 15:25:40.568000+00:00
1243,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.40625,2022-05-28 15:25:39.427000+00:00
